=========================================
  Date:        9/21/2022
  Time:        14:36:32
  Number:      994
  Initials:    im
  Age:         
  Hand:        Right
  Gender:      Female
  Ethnicity:   Caucasian
  Lesion Site: None
  Lesion Side: None
  Pool:        Paid
  Comments:    
  From:        parserEEGimpblockwfast.exe
=========================================
994	6	bright stars shine light	197304	8967	10248
994	3	young girls push carts	197304	10248	11529
994	9	small mice smell cheese	197304	11529	12810
994	2	kind words warm hearts	197304	12810	14091
994	37	blah blah blah blah	197304	14091	15372
994	1	fat cats like food	197304	15372	16653
994	22	lambs ate green grass	213957	0	1281
994	37	blah blah blah blah	213957	1281	2562
994	14	words warm sad hearts	213957	2562	3843
994	17	cups leaked hot tea	213957	3843	5124
994	21	mice smell old cheese	213957	5124	6405
994	16	flights bring deep sleep	213957	6405	7686
994	24	cars need good care	213957	7686	8967
994	18	stars shine bright light	213957	8967	10248
994	23	kids played fast games	213957	10248	11529
994	13	cats like warm food	213957	11529	12810
994	19	cubs drink warm milk	213957	12810	14091
994	20	boys read short books	213957	14091	15372
994	15	girls push large carts	213957	15372	16653
994	28	lend him the books	230610	0	1281
994	31	send them the gifts	230610	1281	2562
994	35	save her the seat	230610	2562	3843
994	33	fetch me the milk	230610	3843	5124
994	26	tell me the words	230610	5124	6405
994	29	pass her the cheese	230610	6405	7686
994	27	show him the cats	230610	7686	8967
994	34	read them the page	230610	8967	10248
994	36	feed me the soup	230610	10248	11529
994	32	bring us the toys	230610	11529	12810
994	37	blah blah blah blah	230610	12810	14091
994	37	blah blah blah blah	230610	14091	15372
994	25	give me the milk	230610	15372	16653
994	30	sell her the car	230610	16653	17934
994	5	cracked cups leaked tea	248544	0	1281
994	8	sick boys read books	248544	1281	2562
994	6	bright stars shine light	248544	2562	3843
994	4	long flights bring sleep	248544	3843	5124
994	11	tall kids play ball	248544	5124	6405
994	7	cute cubs drink milk	248544	6405	7686
994	3	young girls push carts	248544	7686	8967
994	2	kind words warm hearts	248544	8967	10248
994	9	small mice smell cheese	248544	10248	11529
994	12	old boats need care	248544	11529	12810
994	37	blah blah blah blah	248544	12810	14091
994	10	brown lambs ate grass	248544	14091	15372
994	1	fat cats like food	248544	15372	16653
994	23	kids played fast games	265197	0	1281
994	37	blah blah blah blah	265197	1281	2562
994	24	cars need good care	265197	2562	3843
994	17	cups leaked hot tea	265197	3843	5124
994	13	cats like warm food	265197	5124	6405
994	19	cubs drink warm milk	265197	6405	7686
994	15	girls push large carts	265197	7686	8967
994	21	mice smell old cheese	265197	8967	10248
994	18	stars shine bright light	265197	10248	11529
994	22	lambs ate green grass	265197	11529	12810
994	20	boys read short books	265197	12810	14091
994	16	flights bring deep sleep	265197	14091	15372
994	14	words warm sad hearts	265197	15372	16653
994	26	tell me the words	281850	0	1281
